Component,Origin,License
core,"k8s.io/client-go/kubernetes/typed/authorization/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/autoscaling/v1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/autoscaling/v2beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/autoscaling/v2beta2",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/batch/v1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/batch/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/batch/v2alpha1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/certificates/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/coordination/v1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/coordination/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/core/v1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/events/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/extensions/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/networking/v1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/networking/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/node/v1alpha1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/node/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/policy/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/rbac/v1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/rbac/v1alpha1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/rbac/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/scheduling/v1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/scheduling/v1alpha1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/scheduling/v1beta1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/settings/v1alpha1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/storage/v1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/storage/v1alpha1",Apache-2.0
core,"k8s.io/client-go/kubernetes/typed/storage/v1beta1",Apache-2.0
core,"k8s.io/client-go/pkg/apis/clientauthentication",Apache-2.0
core,"k8s.io/client-go/pkg/apis/clientauthentication/v1alpha1",Apache-2.0
core,"k8s.io/client-go/pkg/apis/clientauthentication/v1beta1",Apache-2.0
core,"k8s.io/client-go/pkg/version",Apache-2.0
core,"k8s.io/client-go/plugin/pkg/client/auth/exec",Apache-2.0
core,"k8s.io/client-go/rest",Apache-2.0
core,"k8s.io/client-go/rest/watch",Apache-2.0
core,"k8s.io/client-go/tools/auth",Apache-2.0
core,"k8s.io/client-go/tools/clientcmd",Apache-2.0
core,"k8s.io/client-go/tools/clientcmd/api",Apache-2.0
core,"k8s.io/client-go/tools/clientcmd/api/latest",Apache-2.0
core,"k8s.io/client-go/tools/clientcmd/api/v1",Apache-2.0
